full_text,text_clean
Mikrotrans jaklingko driver yg tua pemarah yg muda mulutnya pedes,mikrotrans jakarta lingko driver marah muda mulut pedes
UN1TY Official naik jaklingko fik adem wkwk,uji nasional official naik jakarta lingko adem tertawa
Naek jaklingko maghrib2 rasanya saya siap mati juga siap,naik jakarta lingko maghrib rasa siap mati siap
gajadi deng hidup hemat jaklingko 0 rupiah jaya jaya jaya,jadi deng hidup hemat jakarta lingko rupiah jaya jaya jaya
Biasanya aku famous di kalangan tukang angkot Sekarang ganti jaklingko tidak famous lagi,famous kalang tukang angkot ganti jakarta lingko famous
kalau dari cawang uki Pakah ada jaklingko ke bambu apus tidak ya,cawang pakah jakarta lingko bambu apus
No Trayek ga ngerti Nopol Kendaraan Hampir semua mobil jaklingko Waktu kejadian Hampir tiap hari Lokasi kejadian sekitar perumnas Klender Jakarta Timur,trayek erti nopol kendara mobil jakarta lingko waktu jadi hari lokasi jadi perumnas klender jakarta timur
kalo d TJ masih aman aman aja dah perasaan yg turun psti duluan begitupun d kereta sih walau padet gimana juga ttp yg turun duluan apalagi d TJ suka ada petugas pernah beberapa kali di krl ada orang yg ngeyel dulaun tpi jarang bgt gk tau kalo naek jaklingko gak pernah soalny,trans jakarta aman aman sudah asa turun duluan kereta padet bagaimana tetap turun duluan trans jakarta suka tugas kali orang ngeyel dulaun jarang banget tahu naik jakarta lingko soalny
fess angkot m11 jaklingko 14 atau ojol nder,angkot jakarta lingko ojol brother
Gue cm liat cililitan di body jaklingkonya langsung naek Gue lupa dsni itu ya cililitan jd semwa jaklingko ada tulisan cililitannya,cuma lihat cililitan body jaklingkonya langsung naik lupa dsni cililitan jadi semwa jakarta lingko tulis cililitannya
Aku naik jaklingko anjingmu naik beemwe,naik jakarta lingko anjing naik beemwe
Pulang kerja nungguin jaklingko atau angkot lama bgt mau pesen grab tp sayang deket doang mau jalan kaki capek bgt Akhirnya naek odong odong,pulang kerja tunggu jakarta lingko angkot banget sen grab sayang dekat doang jalan kaki cape banget naik odong odong
Duh salah naek jaklingko males nyari rute lg Apa gue diem aja ampe balik lg ke titik awal ya,aduh salah naik jakarta lingko malas cari rute diem sampai balik titik awal
demi apapun gue ngide bgt naik jaklingko di daerah antah berantah,apa ngide banget naik jakarta lingko daerah antah antah
5rb klo bukan jaklingko q pernah naik dari ambas ke gacoan,ribu kalau jakarta lingko naik ambas gaco
Klo naik yg jaklingko trs punya kartunya gratiss kaa,kalau naik jakarta lingko terus punya kartu grati
Transjakarta min mau tanya kalo dari halte tj slipi kemanggisan trus mau ke rs pelni ada mikrotrans jaklingko gak yaa,transjakarta tanya halte trans jakarta slip manggis terus pelni mikrotrans jakarta lingko
Tarif Integrasi memudahkan dan memurahkan perjalanan menggunakan transportasi umum dengan potongan ongkos hingga 50 ke mana pun tujuanmu Yuk aktivasi Kartu Uang Elektronik milikmu serta download aplikasi JakLingko sekarang juga JakLingkoIndonesia,tarif integrasi mudah murah jalan guna transportasi umum potong ongkos tuju aktivasi kartu uang elektronik milik download aplikasi jakarta lingko jaklingkoindonesia
Jaklingko misal,jakarta lingko misal
seperti biasa jaklingko nunggunya 5 jam,jakarta lingko nunggunya
Alasan saya milih btp juga bagus tapi ga di parpol layak Bapak tahu soal harga kelayakan dari kebutuhan primer dan sekunder bulanan warga Tarif jaklingko merupakan gebrakan tapi masih bermasalah di peraturan permenhub soal izin organda,alas milih bagus partai politik layak bapak tahu soal harga layak butuh primer sekunder bulan warga tarif jakarta lingko gebrak masalah atur permenhub soal izin organda
Jaklingko oke lah program yg direalisasi anis yg berjalan cukup baik tapi gak usah lebay gagasan itu sudah ada sejak era pak Ahok,jakarta lingko program realisasi anis jalan cukup baik perlu lebih gagas ahok
Depok kapan punya moda transport umum macam JakLingko ya Kan enak itu menyusuri jalan yang gak dimasuki angkot bisa mengurangi kemacetan juga biar gak semua naik motor mobil Tarif ojol juga sekarang di luar nayla,depok punya moda transport umum jakarta lingko enak susur jalan masuk angkot kurang macet naik motor mobil tarif ojol luar nayla
Abang abang jaklingko kalo ngendarain angkotnya ngapa kek orang mabok sih ngerem ngegas gitu terus anjir yang ada gua mual,abang abang jakarta lingko ngendarain angkotnya ngapa kayak orang mabok ngerem ngegas gitu terus mual
Silakan dapat menggunakan Kartu Multi Trip KMT CommuterPay kartu uang elektronik bank Flazz BCA Brizzi BRI E Money Mandiri JakLingko selain terbitan Bank DKI TapCash BNI atau metode pembayaran Gopay pada fitur GoTransit di aplikasi Gojek Trims 2,sila guna kartu multi trip commuterpay kartu uang elektronik bank flazz brizzi money mandiri jakarta lingko terbit bank tapcash metode bayar gopay fitur gotransit aplikasi gojek terima kasih
Persiapan rute baru Mikrotrans AC JAK 102 Lebak Bulus Blok M dari Koperasi Budi Luhur BDL Sumber Group Facebook Angkot JakLingko DKI Jakarta Mikrotrans cc Transjakarta Official,siap rute baru mikrotrans lebak bulus blok koperasi budi luhur sumber group facebook angkot jakarta lingko jakarta mikrotrans transjakarta official
Transjakarta bapak bapak mohon di perhatikan ini saya terpotong 2x setiap hari dari tanggal 5 sampai tanggal 9 sekarang masa saya mengadu ke jaklingko dibilang saya tap nya kelamaan dan tap outnya gak bener mana ada sampe tiap hari logika saja,transjakarta bapak bapak mohon perhati potong hari tanggal tanggal masa adu jakarta lingko bilang lama outnya benar hari logika
Kartu jaklingko beli dimana ka,kartu jakarta lingko beli kakak
banyak dr bbrp program anis yg jika salah 1 saja dibandingkan dgn ganjar selama 2 periode gubernur pun sangat jauh contoh saja jaklingko blm yg lain jis formula e dll,beberapa program anis salah banding ganjar periode gubernur jauh contoh jakarta lingko yang formula lain
kelewat turun jaklingko pas jalan kelewat 2 TJ 2A yg kosong hadeh salll,lewat turun jakarta lingko jalan lewat trans jakarta jadi orang kosong hadeh salll
males banget semalem mimpi liatin mw pacaran terus gue cuma kaya abis itu balik pake jaklingko,malas banget semalem mimpi liatin pacar terus kaya habis balik pakai jakarta lingko
hdy jaklingko emang enak ran the best untuk alternatif sayangnya cuma di jkt doang wkwkwk,jakarta lingko memang enak best alternatif sayang jakarta doang wkwkwk
Dulu Mikrotrans atau biasa org sebut angkot JakLingko ini sepiii penumpang Sampe tim bikin campaign nya berkali2 kl ini gratis dan bs pake smua jenis kartu elektronik Time flies skrg rame bgt yg naik,mikrotrans orang sebut angkot jakarta lingko sepiii tumpang buat campaign kali kalo gratis pakai smua jenis kartu elektronik time flies sekarang ramai banget naik
Pulang kantor jalan ke Kost mayan lah dulu 45 mnt jalan daripada emosi nunggu jaklingko,pulang kantor jalan kost mayan menit jalan emosi nunggu jakarta lingko
Bm naik jaklingko,naik jakarta lingko
Masih ada yg blom nih transportasi terintegritas murah meriah angkot gratis jaklingko jekpreunur,blom transportasi integritas murah riah angkot gratis jakarta lingko jekpreunur
FAKKK DICKY MAU FOTO GINIAN AJA LAMA BANGET ASW DITUNGGUIN HABIS RULET KAGAK NAIK GW JADI KEHABISAN JAKLINGKO KAN,fakkk dicky foto ginian banget ditungguin habis rulet naik jadi habis jakarta lingko
Transjakarta sebenernya dulu supir supirnya baik baik menurut saya tapi sekarang kenapa arogan yaa hehehe teruss juga saya mau nanya apa pelajar naik angkot jaklingko tidak wajib memakai kartu,transjakarta benar supir supirnya baik baik arogan hehehe teru tanya ajar naik angkot jakarta lingko wajib pakai kartu
Gak adil lah buat supir jaklingko lain yang sampe malem jam 22 00 masih aktif,adil supir jakarta lingko malam aktif
Hai min tolong di cek lagi tuh supir2 jaklingko kalo bawa mobil sering banget ngebut dijalanan Apalagi di jalur Perumnas klender ampun deh mana lewat kampung jalannya pake ngebut segala,supir jakarta lingko bawa mobil banget ngebut jalan jalur perumnas klender ampun lewat kampung jalan pakai ngebut
Kopaja udah gone emang udah nambah MRT dan jaklingko tapi ternyata masih belum bisa nge cover kereta yang emang so far mencangkup banyak destinasi dengan harga murah Jujur gua hari ini gak sanggup naik kereta lagi saking sesaknya sampe bikin IGS ini,kopaja gone memang nambah mass rapid transit jakarta lingko nyata cover kereta memang cangkup destinasi harga murah jujur hari sanggup naik kereta saking sesak buat
Alhamdulillah bang pa selama menjabat jadi gubernur berasa sangat manfaatnya contoh sekeluarga saya naik busway gratis kereta gratis jaklingko gratis dpt pangan murah juga semoga Allah memberikan kemenangan nanti di 2024 Aamiin,alhamdulillah jabat jadi gubernur asa manfaat contoh keluarga naik busway gratis kereta gratis jakarta lingko gratis pangan murah moga allah beri menang aamiin
venom11 Hai Kak Mengenai saldo terpotong 2 kali silakan laporkan ke nomor Customer Care JakLingko yang dapat di hubungi Whatsapp 0812 6000 1440 Phone 021 29223034 Email customercare co id Terima kasih YMW,venom kena saldo potong kali sila lapor nomor customer care jakarta lingko hubung whatsapp phone email customercare terima kasih
tpi kli ni kt tdk ush naik jaklingko kita carter rahman sj,kita naik jakarta lingko carter rahman
Dear JKT mending fokus jalur angkot yg sudah ada jaklinkonya izin trayek angkot non jaklinko dicabut Full 100 jaklinko Jalur3 angkot yg belum ada jaklinko hrs dipaksa masuk n izin angkot non jaklingko di stop goal reduce kemacetan atas angkot ngetem,dear jakarta lebih baik fokus jalur angkot jaklinkonya izin trayek angkot jaklinko cabut full jaklinko jalur angkot jaklinko paksa masuk izin angkot jakarta lingko henti goal reduce macet atas angkot henti
Ya allah gara2 sering liat tukang sate burung kalo lagi naik jaklingko w jadi pengen sampe tadi nyari2 kaga dapet juga,allah gara lihat tukang sate burung naik jakarta lingko jadi cari dapat
Min Transjakarta kok ini bangku samping supir jaklingko rute 120 gak boleh ditempatin ya Tadinya kukira karena ada tanda prioritas makanya aku gak boleh di depan eh tapi tadi ada ibu hamil gak kebagian duduk di belakang juga gak boleh duduk di depan akhirnya dia gak naik,transjakarta bangku samping supir jakarta lingko rute ditempatin kira tanda prioritas hamil bagi duduk belakang duduk naik
Akhirnya bisa top up pakai uang Rupiah edisi terbaru juga setelah menanti sekian lama purnama Yihaaa PapaEko JakLingko VendingMachine Transjakarta,pakai uang rupiah edisi baru nanti sekian purnama yihaaa papaeko jakarta lingko vendingmachine transjakarta
yaAllah cinta bgt ama jaklingko makasih penyelemat transport ke kantor,allah cinta banget sama jakarta lingko terima kasih lat transport kantor
Wah keren juga ya Lalu APBD DKI era Ahok dibikin jadi apa subsidi JakLingko Bikin JIS Jaki JakHabbitat DP 0pesen Pengadan Bus Bikin sistem aduan 11 kanal JakI Apa coba dengan APBD ratusan triliun di era Ahok jadi apa Kak Penasaran,keren apbd ahok bikin jadi subsidi jakarta lingko buat jaki jakhabbitat sen kad buat sistem adu kanal jaki coba apbd ratus triliun ahok jadi penasaran
Kartu Jaklingko e money mandiri min,kartu jakarta lingko money mandiri
Indonesia pada kehancuran hancurnya darimana Jakarta jadi lebih baik ada stadion ada sirkuit FE ada rusun ada trotoar yang lebar ada JPO yang tertata ada Jaklingko ada Jaki capres lain karya nya apa coba,indonesia hancur hancur darimana jakarta jadi baik stadion sirkuit rusun trotoar lebar tata jakarta lingko jaki capres karya coba
Ini yg nunggu jaklingko gabuat antrian aja apa ya Udh nunggu lama lama eh di selak,nunggu jakarta lingko gabuat antri udah nunggu selak
rutenya aye Naik dari Stasiung Gang Sentiong transit di Manggarai naik yang kearah Depok Nambo Bogor turun di Stasiun Tebet lalu lanjut Jaklingko,rute naik stasiung gang sentiong transit manggarai naik arah depok nambo bogor turun stasiun tebet lanjut jakarta lingko
ongkos ke Lotte Ambas Oakwood kurang dari 5rb rupiah naik KRL turun di Tebet tarif cuma 3000rb dari tempat aye lanjut Jaklingko 48A masi gratis turun di Lotte Ambas Oakwood estimasi perjalanan 1 40menit,ongkos lotte ambas oakwood kurang ribu rupiah naik turun tebet tarif ribu tempat lanjut jakarta lingko jadi orang gratis turun lotte ambas oakwood estimasi jalan menit
Transjakarta min tadi aku naik angkot jaklingko teruss dia ngebut min saya kan lagi ngetap sampe saya miring miring mau jatuh pas saya tegur malah galakkan dia saya nangis min karnaa saya dikeroyok diocehin supir angkot sama bapa bapa sama ibu2 ada 2,transjakarta naik angkot jakarta lingko teru ngebut ngetap miring miring jatuh tegur galak menang karnaa keroyok diocehin supir angkot bapa bapa
Ceritaku sama mikrolet jaklingko tuh banyak banget sebenernya Cuma yang terjadi hari ini bikin aku ngedumel parah Pengen turun di bus stop biasa aku turun tapi karena si supir ngobrol sama rekannya akhirnya ga kedengeran dan berujung aku turun di pemberhentian akhir yang,cerita mikrolet jakarta lingko banget benar jadi hari buat ngedumel parah turun henti turun supir ngobrol rekan kedengeran ujung turun henti akhir
Skrg heru yaa Angkot anri ngetem JakLingko tetap ada tapi issue trbaru kalo JakLingko bakal berbayar ga gratis lg kaya jaman Anies Wkwk,sekarang heru angkot anri henti jakarta lingko tetap trbaru jakarta lingko bakal bayar gratis kaya jaman anies tertawa
wkwkwk beda gblkkk jaklingko tu gantinya angkot,wkwkwk beda gblkkk jakarta lingko ganti angkot
btw bedanya jaklingko sama tj apa ya,ngomong-ngomong beda jakarta lingko trans jakarta
gramed matraman sih gede amp lengkap fnbnya ada dunkin dcrepes hokben sm cafe amp resto2 lain tinggal pilih tapi yg juara ttp soto yg di dpnnya trus integrated sm tj jaklingko jd ga bingung,gramed matraman gede lengkap fnbnya dunkin dcrepes hokben sama cafe resto tinggal pilih juara tetap soto dpnnya terus integrated sama trans jakarta jakarta lingko jadi bingung
Transjakarta min dari stasiun tebet ada mikrotrans jaklingko yang ke jalan soepomo tebet kah,transjakarta stasiun tebet mikrotrans jakarta lingko jalan soepomo tebet
Transjakarta Masalanya karena TOB yg blm bs sistem integrasi Ini mslh udah dr dulu jaman sistem jaklingko tarif max 5rb 3jam pake kartu logo jaklingko jaman sistem masih tap in bayar tap out gratis Masalah kyk gni udah susah karena semua itu program kebelet rilis buru2 di terapin,transjakarta masala belum sistem integrasi masalah dari jaman sistem jakarta lingko tarif ribu pakai kartu logo jakarta lingko jaman sistem bayar gratis masalah kayak begini susah program kebelet rilis buru terapin
Jaklingko kalo gaada yg berdiri di sign bus stop gabakal berenti sedangkan siang ke sore panas jadinya harus neduh,jakarta lingko tidak yang diri sign henti gabakal renti siang sore panas jadi neduh
jaklingko bisa dipakai buat semuanya,jakarta lingko pakai
org butuhny flazz kok jaklingko si ajg,orang butuhny flazz jakarta lingko anjing
Transjakarta naik jaklingko kadang happy kadang stress tergantung sikon sopir,transjakarta naik jakarta lingko kadang bahagia kadang stre gantung situasi kondisi sopir
Transjakarta halo admin kalo naik transjakarta metrotrans bisa pake emoney apa cuma bisa kartu jaklingko aja ya,transjakarta halo admin naik transjakarta metrotrans pakai emoney kartu jakarta lingko
pake jaklingko,pakai jakarta lingko
dyah23 Silakan gunakan Kartu Multi Trip KMT CommuterPay kartu uang elektronik bank Flazz BCA Brizzi BRI E Money Mandiri JakLingko selain terbitan Bank DKI TapCash BNI atau metode pembayaran Gopay pada fitur GoTransit di aplikasi Gojek Trims 2,dyah sila guna kartu multi trip commuterpay kartu uang elektronik bank flazz brizzi money mandiri jakarta lingko terbit bank tapcash metode bayar gopay fitur gotransit aplikasi gojek terima kasih
Transjakarta RI Setelah dilakukan pengecekan pada sistem kami tidak ditemukan data untuk transaksi kakak pada tanggal 08 06 2023 ya kak dan dapat kami informasikan tidak semua alat tap pada Transjakarta dikelola oleh PT JakLingko Indonesia,transjakarta laku kece sistem temu data transaksi kakak tanggal informasi alat transjakarta kelola jakarta lingko indonesia
hallo saya ada pengajuan refund dana atas kegagalan pembelian kartu tapcash jaklingko via mesin di halte ke nomor wa CS yang tertera di mesin tapi sampai sekarang sudah 1 minggu lebih blm ada kejelasan saya coba tindak lanjut di nomor cs nya tapi tidak di baca,hallo aju refund dana atas gagal beli kartu tapcash jakarta lingko mesin halte nomor whatsapp tera mesin minggu jelas coba tindak lanjut nomor baca
Transjakarta Masih bisa pake tapcash gak sih kalo naik TJ ato jaklingko,transjakarta pakai tapcash naik trans jakarta jakarta lingko
bisa nder asal jangan jaklingko,brother asal jakarta lingko
hati pak sopir DPRD Minta PT Transjakarta Tindak Sopir Bus dan Jaklingko yang Ugal ugalan lewat id,hati sopir dprd minta transjakarta tindak sopir jakarta lingko ugal ugalan lewat
Keren pa Semoga kedepannya bisa lebih banyak koridor nya hingga ke daerah daerah seperti di sini d jakarta Setengah Transjakarta di sambung pake jaklingko,keren moga depan koridor daerah daerah jakarta tengah transjakarta sambung pakai jakarta lingko
Bikin Jaklingko seperti Anies Gratis Bikin BPJS seperti Anies 90 lebih masyarakat Jakarta tercover Bikin pendidikan seperti Anies Agar angka buta huruf seperti Jawa Tengah tidak terulang,buat jakarta lingko anies gratis buat bpjs anies masyarakat jakarta tercover buat didik anies angka buta huruf jawa tengah ulang
Hai Kak Hal tersebut di karenakan adanya sistem jarak penggunaan kartu berlogo Jaklingko agar tidak terjadi penyalahgunaan kartu yang di gunakan lebih dari 2 orang Terima kasih DN,karena sistem jarak guna kartu logo jakarta lingko jadi penyalahgunaan kartu guna orang terima kasih
Ternyata bener semakin sibuk semakin ga ada waktu buat main2 Biasanya bisa on twit mulu ini boro2 udah keburu lelah besss pulang kerja kejar2an jaklingko sama busway,nyata benar sibuk waktu main twit terus jangan lanjur lelah pulang kerja kejar jakarta lingko busway
contoh seperti DKI Jakarta GRATIS Jaklingko sampai ke kampung2 masa sdh 10 tahun ngga bs kasih pelayanan GRATIS ke warga jateng Jangan malu2 mencontoh yang bagus2 program DKI Jakarta,contoh jakarta gratis jakarta lingko kampung masa tahun bisa kasih layan gratis warga jateng malu contoh bagus program jakarta
Untuk mendapatkan tarif integrasi Rp 5000 dalam tiga jam bisa dengan menggunakan Kartu Jaklingko namun harus melakukan tap in dan tap out di halte halte Transjakarta bus Transjakarta Terima kasih WY,dapat tarif integrasi tiga guna kartu jakarta lingko laku halte halte transjakarta transjakarta terima kasih
Bisa cek sendiri Transjakarta data dari Jaklingko sama transaksi dari flazz bca ga pernah kebaca tuh kalau saya tap in pagi atau tap out malam kalau naik bis JIS3 Masa udah dikasih bukti gini jawaban template tidak solutif,transjakarta data jakarta lingko transaksi flazz baca pagi malam naik masa kasih bukti gin jawab template solutif
untungnya di kantor dpet makan siang jadi pagi biasa ga sarapan pengeluaran pas sore aja pulang pergi naik jaklingko 0 rupiah,untung kantor dpet makan siang jadi pagi sarap keluar sore pulang pergi naik jakarta lingko rupiah
Tolong ya saya naik bus JIS3 itu udah dari awal pas rute nya baru jadi Baru bulan ini kejadian double charge saya minta tolong CS Jaklingko kok kayak gitu jawabannya ga membantu sama sekali Mesin nya juga error mulu itu bisa ga kebaca tap in tap out,naik awal rute baru jadi baru bulan jadi double charge minta jakarta lingko gitu jawab bantu mesin error terus baca
seharian dijelasin hal hal baru dan unfamiliar gt kenalan sama orang baru gt pulang tj penuh terus as usual pinang ranti pluit nieh bozz gt beli kopken gt nunggu jaklingko lama bgt buset gt nyampe kos tepar gt laper tapi pusing,hari dijelasin baru unfamiliar kenal orang baru pulang trans jakarta penuh terus usual pinang ranti pluit nieh bozz beli kopken nunggu jakarta lingko banget buset nyampe kapar laper pusing
angkot jaklingko paling pagi beroperasi jam berapa ya,angkot jakarta lingko pagi operasi
Bolak balik tanya CS Jaklingko juga jawaban template terus bilangnya saya penalty ga tap out double tap in Jelas2 ada bukti nya saya transaksi dari record kartu flazz bca Ada jam dan tanggal dicross check sama data jaklingko,bolak balik tanya jakarta lingko jawab template terus bilang penalty double jelas bukti transaksi record kartu flazz tanggal dicro check data jakarta lingko
Min tolong dong penumpang yg gk mau pakai masker di mikrotrans jaklingko dilarang naik Kasian kadang pak supir nya udh ingetin pake masketlr penumpang nya ngeyel Haduh,tumpang pakai masker mikrotrans jakarta lingko larang naik kasi kadang supir udah ingetin pakai masketlr tumpang ngeyel haduh
Transjakarta Tolong dong min ini plang bus stop di jalan tanjung duren timur depan SDN tanjung duren utara 6 di copot jadi kadang ada sopir yg ga mau berenti padahal udah lambaiin kartu jaklingko dan seharusnya sopir tau kalo itu tempat pemberhentian tapi malah ga berenti,transjakarta plang henti jalan tanjung durian timur tanjung durian utara copot jadi kadang sopir renti lambaiin kartu jakarta lingko sopir tahu tempat henti tidak renti
jaklingko enak si ya,jakarta lingko enak
Transjakarta benefit kartu Jaklingko yang dibeli di vending mesin halte Transjakarta apa saja,transjakarta benefit kartu jakarta lingko beli vending mesin halte transjakarta
Pengemudi bus Transjakarta dan Jaklingko dikritik anggota DPRD DKI Jakarta karena suka kebut kebutan membahayakan penumpang diduga karena ingin menerapkan program 35 menit perjalanan,kemudi transjakarta jakarta lingko kritik anggota dprd jakarta suka kebut kebut bahaya tumpang duga terap program menit jalan
Transjakarta Saya juga sdh email ke cust care nya jaklingko sih Siapa tau ada pencerahan Kalo ngga bisa balikin saldonya paling ngga errornya dibenerin tuntas Kasian yg ongkosnya ngepas naik tije kan tujuannya biar lebih irit ongkos,transjakarta email cust care jakarta lingko tahu cerah balikin saldo tidak errornya dibenerin tuntas kasi ongkos ngepas naik tije tuju irit ongkos
Transjakarta Kalo saya case nya nih tap in di Cawang Cikoko tap out di Garuda TMII Itu kan halte ada mesin semua masa iya kepotong double Bikin boncos ongkos aja Mana lempar2an antara Jaklingko dan Transjakarta Tai bgt emang,transjakarta case cawang cikoko garuda tmii halte mesin masa potong double buat boncos ongkos lempar jakarta lingko transjakarta banget memang
Ga gen kan Bisa hidup tapi ngepas Kost range 700 1 juta Listrik 200k Makan kombinasi masak sendiri lauk warteg 30k 30 900k Sarapan 10 30 300k Transport klo sdh ngekos max 300 jaklingko free Jajan 200k Skincare 150k Masih 3 juta,hidup ngepas kost range juta listrik ribu makan kombinasi masak lauk warung tegal ribu ribu sarap ribu transport kalau tinggal kos jakarta lingko bebas jajan ribu skincare ribu juta
pelayanan JakLingko jurusan Cikini Gondangdia belakangan kurang nyaman Sopirnya suka menyetel musik keras keras,layan jakarta lingko jurus cikini gondangdia belakang kurang nyaman sopir suka setel musik keras keras
Transjakarta mau beli kartu jaklingko tapi stock kartu selalu habis Lokasi halte Gatot Subroto jamsostek kedua arah halte Manggarai pasar raya halte ps genjing Harus beli dimana min,transjakarta beli kartu jakarta lingko stock kartu habis lokasi halte gatot subroto jamsostek dua arah halte manggarai pasar raya halte genjing beli
Selamat siang apa kartu multi trip bisa untuk Jaklingko,selamat siang kartu multi trip jakarta lingko
JAKLINGKO kapan pake listrik dan berAC,jakarta lingko pakai listrik berac
dengan kekuatan Spongebob ntar naek jaklingko gratis,kuat spongebob naik jakarta lingko gratis
Rscm deket stasiun Cikini dr sana naik jaklingko gratis atau bs jalan kaki,rscm dekat stasiun cikini naik jakarta lingko gratis jalan kaki
Siang kak Sistem pembayaran tiket Transjakarta di kelola oleh PT Jaklingko Indonesia apabila ada ketidak sesuaian silakan laporkan ke nomor Whatsapp 0812 6000 1440 Phone 021 29223034 Email customercare co id Terima kasih SJ,siang sistem bayar tiket transjakarta kelola jakarta lingko indonesia tidak sesuai sila lapor nomor whatsapp phone email customercare terima kasih
Transjakarta min boleh tau rute perjalanan jaklingko 10A nggak ya yg arah gondangdia,transjakarta tahu rute jalan jakarta lingko jadi orang yang arah gondangdia
Transjakarta JKT untuk pengaduan mikro trans jaklingko dikirim kemana ya Saya sudah ke nomor wa 081260001440 tp cuma dijawab mesin ga ada respon sama sekali,transjakarta jakarta adu mikro trans jakarta lingko kirim nomor whatsapp jawab mesin respon
akhir2 ini ga naik jaklingko boros jg y grab2 trs emoney segala ilang lg,akhir naik jakarta lingko boros grab terus emoney hilang
jakarta keknya gratis deh kn ad jaklingko gt ga sie tp klo dikota gua ya sekitar 3 5k,jakarta kayak gratis jakarta lingko tidak kalau kota ribu
Kemarin saya udah bongkar tipu tipu pengurusan Jaklingko oleh ybs Terus ada kawan yang mau bongkar kebodohan statement ybs tentang air Kalau pengen baca Gas RT dan follow beliau Gw soalnya udah males respon agen KCIC itu Hahaha,kemarin bongkar tipu tipu urus jakarta lingko terus kawan bongkar bodoh statement baca retweet follow beliau soal malas respon agen kcic hahaha
Selamat pagi Kak Mohon maaf atas ketidaknyamanannya silakan konfirmasi ke PT Jaklingko dikarenakan pemotongan langsung dari pihak PT Jaklingko Terima kasih YMW,selamat pagi mohon maaf atas ketidaknyamanannya sila konfirmasi jakarta lingko potong langsung pihak jakarta lingko terima kasih
Newbe ni jadi anak anak TJ or Jaklingko,newbe jadi anak anak trans jakarta jakarta lingko
Bangun sistem seperti jaklingko Jakarta Solusi paling bagus angkot Bogor numpuk karena tujuannya dari pinggir ke tengah kota semua,bangun sistem jakarta lingko jakarta solusi bagus angkot bogor tumpuk tuju pinggir tengah kota
Transjakarta Sekarang keknya yg aplikasi tj udh ga di develop lagi deh yg dipake sekarang aplikasi jaklingko Soalnya waktu kapan lupa bawa emoney bisa beli tiket di jaklingko pake qris,transjakarta kayak aplikasi trans jakarta udah develop pakai aplikasi jakarta lingko soal waktu lupa bawa emoney beli tiket jakarta lingko pakai qris
kenapa si pesen m4xim gada alamat tujuan pesentiket jaklingko tujuannya malah tujuan balik,sen ada alamat tuju pesentiket jakarta lingko tuju tuju balik
Transjakarta Atau naik 7A jurusan Lebak Bulus turun di Lebak Bulus Jaklingko lalu naik JAK 32 jurusan Petukangan turun di Adam Malik,transjakarta naik jadi orang jurus lebak bulus turun lebak bulus jakarta lingko naik jurus tukang turun adam malik
Hai kak silalan gunakan kartu berlogo Jaklingko ya kak BR,silalan guna kartu logo jakarta lingko baru
dari keluarga diajarin mandiri tapi naik motor sama mobil gaberani hehe waktu sma gaada gojek amp gocar yaa naik angkot penyelamatku Cuma malesinnya ngetemnya gilaskrg cuma jaklingko aja kalo mau ngangkot mendingan busway sekalian,keluarga diajarin mandiri naik motor mobil gaberani waktu sama ada gojek gocar naik angkot selamat malesinnya ngetemnya gilaskrg jakarta lingko jika ngangkot mending busway
Jijik kadang tp kalo jaklingko enggak,jijik kadang jika jakarta lingko
Jaklingko 86 ber ac bos jangan maen maen sm angkot jaktim,jakarta lingko main main sama angkot jaktim
kalau pas lengkap semua ada tp pas aku beli lagi pada abis dan sisa jaklingko aja,lengkap beli habis sisa jakarta lingko
Transjakarta update bisa pakai kartu yang ga ada logo jaklingko nya,transjakarta update pakai kartu logo jakarta lingko
oh 19 yg dari margonda keknya itu berarti klo mau naik jaklingko turun di lenteng agung terus sambung angkot itu,margonda kayak arti kalau naik jakarta lingko turun lenteng agung terus sambung angkot
Bantu jawab di jelambar udh banyak jaklingko bahkan masuk ke jalanan jalanan yg cukup 2 mobil doang,bantu jawab jambar udah jakarta lingko masuk jalan jalan cukup mobil doang
nunggu jaklingko jalan dr kb lama nyampe 20 MENIT ini jalanan kagak gerak gr2 motor beneran konsep gratis tp lu bayarnya pake WAKTU,nunggu jakarta lingko jalan nyampe menit jalan gerak gara motor beneran konsep gratis kamu bayar pakai waktu
Alasan happy today Dibekelin nugget sama tmn krn pas kmrn maksi bareng w ngeluh keabisan nugget warteg dikasih masker sama bpk2 di jaklingko wkwkwk krn lupa ga bawa berhasil ngebujuk tmn ikt donor darah solat di masjid paporit dan ada bayi lucu bgt lg tidur tengkurep,alas bahagia today dibekelin nugget teman kemarin maksi bareng ngeluh abis nugget warung tegal kasih masker bapak jakarta lingko wkwkwk lupa bawa hasil ngebujuk teman donor darah solat masjid paporit bayi lucu banget tidur tengkurep
Nasib nunggu jaklingko,nasib nunggu jakarta lingko
sehari aja supir jak lingko gak bisa apa ya ga sradak sruduk iya kita tau tiap sore tuh pasti macet apalagi hari ini tambah hujan tapi emang susah apa kerja sepenuh hati kan kita juga semuanya lagi capek ya asli deh sehari aja gak emosi naik jaklingko udh bersyukur,hari supir lingko sradak sruduk tahu sore macet hari tambah hujan memang susah kerja sepenuh hati cape asli hari emosi naik jakarta lingko udah syukur
